"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
2054,2023-07-15 06:10:00,0.01171875,19.8074998855591,0,23.8700008392334,15.5,50,0,17.8774995803833
2055,2023-07-15 06:20:00,0.024169921875,19.6675004959106,0,23.8700008392334,15.6,64,1.5,17.8074998855591
2056,2023-07-15 06:30:00,0.0120849609375,19.7775001525879,0,23.8700008392334,15.7,73,3.5,18.0500001907349
2057,2023-07-15 06:40:00,0.0179443359375,19.7375001907349,0,23.8700008392334,15.8,57,0,17.7924995422363
2058,2023-07-15 06:50:00,0.0120849609375,19.6999998092651,0,23.8700008392334,15.8,27,0,18.039999961853
2059,2023-07-15 07:00:00,0.0179443359375,19.6575002670288,0,23.8700008392334,15.8,66,0,18.0299997329712
2060,2023-07-15 07:10:00,0.0179443359375,19.6350002288818,0,23.8700008392334,15.9,111,0,17.7950000762939
2061,2023-07-15 07:20:00,0.0120849609375,19.5350008010864,0,23.8700008392334,16,108,0,17.9100008010864
2062,2023-07-15 07:30:00,0.0120849609375,19.5149993896484,0,23.8700008392334,16.1,143,3.1,17.8625001907349
2063,2023-07-15 07:40:00,0.024169921875,19.5374994277954,0,23.8700008392334,16.2,184,0.8,17.835000038147
2064,2023-07-15 07:50:00,0.01171875,19.4299993515015,0,23.8700008392334,16.4,119,0,17.9799995422363
2065,2023-07-15 08:00:00,0.018310546875,19.5174999237061,0,23.8700008392334,16.4,279,0,17.9025001525879
2066,2023-07-15 08:10:00,0.01171875,19.460000038147,0,23.8700008392334,16.7,124,2.7,18.102499961853
2067,2023-07-15 08:20:00,0.024169921875,19.539999961853,0,23.8700008392334,16.4,225,4.6,17.9849996566772
2068,2023-07-15 08:30:00,0.01171875,19.6949996948242,0,23.8700008392334,16.7,541,4.8,18.085000038147
2069,2023-07-15 08:40:00,0.0662841796875,19.6925001144409,0,23.8700008392334,17,339,5.3,18.0775003433228
2070,2023-07-15 08:50:00,0.6119384765625,19.7125005722046,0,23.8700008392334,17,468,0.5,18.2624998092651
2071,2023-07-15 09:00:00,0.56982421875,20.0100002288818,0,23.8700008392334,17.3,272,0,18.4049997329712
2072,2023-07-15 09:10:00,0.06005859375,20.1274995803833,0,23.8700008392334,17.6,582,0,18.602499961853
2073,2023-07-15 09:20:00,0.0238037109375,20.2550001144409,0,23.8700008392334,17.7,625,0,18.5950002670288
2074,2023-07-15 09:30:00,0.0120849609375,20.4274997711182,0,23.8700008392334,17.7,226,0,18.8775005340576
2075,2023-07-15 09:40:00,0.0179443359375,20.2974996566772,0,23.8700008392334,17.7,190,2.5,18.8575000762939
2076,2023-07-15 09:50:00,0.0120849609375,20.477499961853,0,23.8700008392334,17.8,400,0,18.897500038147
